method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf_pos,26,4-5-1,25.0,420.0,255.0,11,15,633.0,140.0,4-5-1,230.0,0.17857142857142858,,
rf_rank,26,3-4-3,3.0,336.0,216.0,11,15,517.0,140.0,4-5-1,230.0,0.02142857142857143,,
ma3,26,4-5-1,41.0,251.0,51.0,11,15,70.7,140.0,4-5-1,230.0,0.29285714285714287,,
pos,26,4-5-1,5.0,12.0,711.0,11,15,39.0,140.0,4-5-1,230.0,0.03571428571428571,,
rf,27,3-4-3,29.0,187.0,579.0,11,15,81.8,126.0,4-4-2,360.0,0.23015873015873015,,
rf_relaxed,27,3-4-3,29.0,187.0,579.0,11,15,77.2,126.0,4-4-2,360.0,0.23015873015873015,,
rf_optfill,27,3-4-3,29.0,187.0,579.0,11,15,81.8,126.0,4-4-2,360.0,0.23015873015873015,,False
rf_pos,27,4-5-1,30.0,341.0,115.0,11,15,680.0,126.0,4-4-2,360.0,0.23809523809523808,,
rf_rank,27,3-5-2,27.0,81.0,557.0,11,15,662.0,126.0,4-4-2,360.0,0.21428571428571427,,
ma3,27,4-5-1,43.0,255.0,420.0,11,15,74.39999999999999,126.0,4-4-2,360.0,0.3412698412698413,,
pos,27,4-5-1,0.0,683.0,668.0,11,15,49.099999999999994,126.0,4-4-2,360.0,0.0,,
rf,28,3-4-3,44.0,579.0,234.0,11,15,79.00000000000001,155.0,3-5-2,251.0,0.2838709677419355,,
rf_relaxed,28,3-4-3,44.0,579.0,234.0,11,15,79.00000000000001,155.0,3-5-2,251.0,0.2838709677419355,,
rf_optfill,28,3-4-3,44.0,579.0,234.0,11,15,79.00000000000001,155.0,3-5-2,251.0,0.2838709677419355,,False
rf_pos,28,4-5-1,40.0,701.0,359.0,11,15,737.0,155.0,3-5-2,251.0,0.25806451612903225,,
rf_rank,28,4-3-3,3.0,548.0,698.0,11,15,520.0,155.0,3-5-2,251.0,0.01935483870967742,,
ma3,28,4-5-1,28.0,255.0,420.0,11,15,80.3,155.0,3-5-2,251.0,0.18064516129032257,,
pos,28,5-4-1,1.0,682.0,68.0,11,15,47.1,155.0,3-5-2,251.0,0.0064516129032258064,,
rf,29,3-5-2,65.0,234.0,359.0,11,15,78.9,132.0,4-3-3,579.0,0.49242424242424243,,
rf_relaxed,29,3-5-2,65.0,234.0,359.0,11,15,78.9,132.0,4-3-3,579.0,0.49242424242424243,,
rf_optfill,29,3-5-2,65.0,234.0,359.0,11,15,78.9,132.0,4-3-3,579.0,0.49242424242424243,,False
rf_pos,29,4-5-1,45.0,154.0,681.0,11,15,736.0,132.0,4-3-3,579.0,0.3409090909090909,,
rf_rank,29,3-5-2,2.0,66.0,74.0,10,15,508.0,132.0,4-3-3,579.0,0.015151515151515152,,
ma3,29,5-4-1,40.0,131.0,224.0,11,15,77.3,132.0,4-3-3,579.0,0.30303030303030304,,
pos,29,4-5-1,0.0,13.0,714.0,11,15,49.400000000000006,132.0,4-3-3,579.0,0.0,,
rf,30,3-4-3,29.0,196.0,701.0,11,15,73.2,117.0,4-5-1,359.0,0.24786324786324787,,
rf_relaxed,30,3-4-3,29.0,196.0,701.0,11,15,73.2,117.0,4-5-1,359.0,0.24786324786324787,,
rf_optfill,30,3-4-3,29.0,196.0,701.0,11,15,73.2,117.0,4-5-1,359.0,0.24786324786324787,,False
rf_pos,30,3-5-2,51.0,96.0,196.0,11,15,701.0,117.0,4-5-1,359.0,0.4358974358974359,,
rf_rank,30,5-4-1,10.0,415.0,428.0,11,15,506.0,117.0,4-5-1,359.0,0.08547008547008547,,
ma3,30,4-3-3,53.0,44.0,360.0,11,15,71.6,117.0,4-5-1,359.0,0.452991452991453,,
