name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Harry Toffolo,0,,,,0,0,0,,,0.0,,,523,,,58,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,3,0,,0,0,,0,6,0,16386,,,,3.0,2.0,0.0,0,1623,3596,1973,45,True,,0,6,2022-23,DEF,Nott'm Forest,2.2,0.0,0.0,0.0,0.0,0.0
Jefferson Lerma Solís,0,,,,0,13,0,,,7.5,,,64,,,58,,2,0,2.0,,10.4,,2022-09-03T14:00:00Z,,,,90,,,16,0,,0,0,,0,6,0,76528,,,,3.0,2.0,2.0,2,-4403,4489,8892,50,False,,0,6,2022-23,MID,Bournemouth,1.8,0.0,0.0,0.0,0.0,0.0
Ezri Konsa Ngoyo,0,,,,0,5,0,,,0.1,,,44,,,51,,1,0,0.5,,4.4,,2022-09-03T16:30:00Z,,,,90,,,13,0,,0,0,,0,6,0,21997,,,,1.0,1.0,0.0,2,-1932,691,2623,44,True,,0,6,2022-23,DEF,Aston Villa,0.2,0.0,0.0,0.0,0.0,0.0
Chris Mepham,0,,,,0,14,0,,,0.3,,,71,,,58,,2,0,3.1,,31.0,,2022-09-03T14:00:00Z,,,,90,,,16,0,,0,0,,0,6,0,12963,,,,3.0,2.0,0.0,1,1461,2389,928,44,False,,0,6,2022-23,DEF,Bournemouth,1.0,0.0,0.0,0.0,0.0,0.0
Denis Zakaria,0,,,,0,0,0,,,0.0,,,616,,,54,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,19,0,,0,0,,0,6,0,306,,,,1.0,2.0,0.0,0,224,296,72,50,True,,0,6,2022-23,MID,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
Willy Caballero,0,,,,0,0,0,,,0.0,,,424,,,60,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,20,0,,0,0,,0,6,0,103287,,,,0.0,1.0,0.0,0,-3318,1163,4481,40,False,,0,6,2022-23,GK,Southampton,0.0,0.0,0.0,0.0,0.0,0.0
Alex Mighten,0,,,,0,0,0,,,0.0,,,395,,,58,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,3,0,,0,0,,0,6,0,1667,,,,3.0,2.0,0.0,0,-395,1,396,49,True,,0,6,2022-23,MID,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0
Keinan Davis,0,,,,0,0,0,,,0.0,,,52,,,51,,0,0,0.0,,0.0,,2022-09-03T16:30:00Z,,,,0,,,13,0,,0,0,,0,6,0,5540,,,,1.0,1.0,0.0,0,-706,0,706,54,True,,0,6,2022-23,FWD,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0
Robin Olsen,0,,,,0,0,0,,,0.0,,,35,,,51,,0,0,0.0,,0.0,,2022-09-03T16:30:00Z,,,,0,,,13,0,,0,0,,0,6,0,177082,,,,1.0,1.0,0.0,0,-4711,3551,8262,40,True,,0,6,2022-23,GK,Aston Villa,-1.0,0.0,0.0,0.0,0.0,0.0
Josh Dasilva,0,,,,0,5,0,,,0.8,,,83,,,52,,1,0,0.8,,3.4,,2022-09-03T14:00:00Z,,,,31,,,11,0,,0,0,,0,6,0,991346,,,,2.0,5.0,4.0,1,-54613,75002,129615,46,True,,0,6,2022-23,MID,Brentford,3.1,0.0,0.0,0.0,0.0,0.0
