id,web_name,first_name,second_name,element_type,position,team_id,team_name,team_short,now_cost,status,chance_of_playing_next_round,selected_by_percent,form,points_per_game,influence,creativity,threat,ict_index
59,Onana,Amadou,Onana,3,MID,2,Aston Villa,AVL,5.0,a,,1.8,5.0,5.0,19.4,3.0,0.0,2.2
60,Broggio,Ben,Broggio,3,MID,2,Aston Villa,AVL,4.5,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
61,Dendoncker,Leander,Dendoncker,3,MID,2,Aston Villa,AVL,4.5,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,3,MID,2,Aston Villa,AVL,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
63,Young,Kadan,Young,3,MID,2,Aston Villa,AVL,4.5,a,,0.7,0.0,0.0,0.0,0.0,0.0,0.0
64,Watkins,Ollie,Watkins,4,FWD,2,Aston Villa,AVL,9.0,a,,25.8,2.0,2.0,10.6,12.2,27.0,5.0
65,Redmond,Zépiqueno,Redmond,4,FWD,2,Aston Villa,AVL,4.5,a,,0.9,0.0,0.0,0.0,0.0,0.0,0.0
677,Guessand,Evann,Guessand,3,MID,2,Aston Villa,AVL,6.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
688,Wright,James,Wright,1,GK,2,Aston Villa,AVL,4.0,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
183,Weiss,Max,Weiß,1,GK,3,Burnley,BUR,4.5,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
184,Green,Etienne,Green,1,GK,3,Burnley,BUR,4.0,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
185,Hladký,Václav,Hladký,1,GK,3,Burnley,BUR,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
186,Roberts,Connor,Roberts,2,DEF,3,Burnley,BUR,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
187,Walker,Kyle,Walker,2,DEF,3,Burnley,BUR,4.5,a,,1.9,1.0,1.0,8.2,0.9,1.0,1.0
188,Delcroix,Hannes,Delcroix,2,DEF,3,Burnley,BUR,4.0,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
189,Dodgson,Owen,Dodgson,2,DEF,3,Burnley,BUR,4.0,u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Ekdal,Hjalmar,Ekdal,2,DEF,3,Burnley,BUR,4.0,a,,0.2,1.0,1.0,9.8,0.5,8.0,1.8
191,Estève,Maxime,Estève,2,DEF,3,Burnley,BUR,4.0,a,,19.7,1.0,1.0,19.4,0.5,17.0,3.7
192,Hartman,Quilindschy,Hartman,2,DEF,3,Burnley,BUR,4.0,a,,0.5,1.0,1.0,13.4,11.7,2.0,2.7
193,Humphreys,Bashir,Humphreys,2,DEF,3,Burnley,BUR,4.0,d,25.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
