name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Axel Piesold,0,,,,0,0,0,,,0.0,,,831,,,327,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,13,0,,0,0,,0,33,0,104,,,,1.0,5.0,0.0,0,20,28,8,45,False,,0,33,2023-24,MID,Luton,-1.5,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,0,,,,0,0,0,,,0.0,,,185,,,325,,0,0,0.0,,0.0,,2024-04-15T19:00:00Z,,,,0,,,9,0,,0,0,,0,33,0,658,,,,0.0,6.0,0.0,0,-2,0,2,40,True,,0,33,2023-24,DEF,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
Jan Paul van Hecke,0,,,,0,15,0,,,1.9,,,150,,,324,,1,0,1.3,,11.2,,2024-04-13T14:00:00Z,,,,90,,,6,0,,0,0,,0,33,0,422110,,,,1.0,1.0,0.0,2,21251,30373,9122,41,False,,0,33,2023-24,DEF,Brighton,2.7,0.01,0.01,0.0,1.7,1.0
Yasser Larouci,0,,,,0,8,0,,,11.3,,,592,,,323,,0,0,2.5,,8.8,,2024-04-13T14:00:00Z,,,,56,,,4,0,,0,0,,0,33,0,4755,,,,0.0,2.0,5.0,1,23,48,25,43,False,,0,33,2023-24,DEF,Sheffield Utd,-0.3,0.01,0.05,0.04,0.66,1.0
Carney Chukwuemeka,0,,,,0,2,0,,,1.3,,,196,,,325,,0,0,0.4,,2.4,,2024-04-15T19:00:00Z,,,,18,,,9,0,,0,0,,0,33,0,125378,,,,0.0,6.0,0.0,1,4288,8102,3814,42,True,,0,33,2023-24,MID,Chelsea,0.8,0.0,0.0,0.0,0.12,0.0
Carlton Morris,0,,,,0,3,0,,,1.0,,,326,,,327,,5,0,1.8,,16.6,,2024-04-13T14:00:00Z,,,,90,,,13,0,,0,0,,0,33,0,747255,,,,1.0,5.0,0.0,2,-56223,24247,80470,50,False,,0,33,2023-24,FWD,Luton,2.0,0.0,0.0,0.0,4.26,1.0
Odysseas Vlachodimos,0,,,,0,0,0,,,0.0,,,710,,,329,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,20,0,,0,0,,0,33,0,7575,,,,2.0,2.0,0.0,0,-65,125,190,45,True,,0,33,2023-24,GK,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0
Ben Jackson,0,,,,0,0,0,,,0.0,,,746,,,324,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,6,0,,0,0,,0,33,0,4186,,,,1.0,1.0,0.0,0,75,190,115,40,False,,0,33,2023-24,DEF,Brighton,0.5,0.0,0.0,0.0,0.0,0.0
George Earthy,0,,,,0,3,0,,,0.1,,,829,,,330,,0,0,0.1,,0.4,,2024-04-14T13:00:00Z,,,,9,,,10,0,,0,0,,0,33,0,130,,,,2.0,0.0,0.0,1,5,14,9,45,True,,0,33,2023-24,MID,West Ham,0.2,0.0,0.0,0.0,0.0,0.0
Adam Davies,0,,,,0,0,0,,,0.0,,,479,,,323,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,4,0,,0,0,,0,33,0,17375,,,,0.0,2.0,0.0,0,22,201,179,40,False,,0,33,2023-24,GK,Sheffield Utd,-0.5,0.0,0.0,0.0,0.0,0.0
